annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million;
20233104;VENDREDI;29/12/2023;2;28/02/2024;2;36;19;37;3;9;6;-2-3-19-36-37-;-6-9-;0;0;0;0;3;235723,3;1;5;33055,4;14;38;1354,7;116;622;152,4;328;1684;59,5;237;1301;54,1;5646;27202;12,9;6200;30489;12,8;13341;66465;11;32787;150297;5,8;108250;494759;5,6;229767;1068091;4,2;0;0;8;344,7;62;24,7;161;9,5;2696;1,4;2978;3,4;15196;3,1;24686;9;51297;2,4;459313;2,4;JK 572 5557;;
20233103;MARDI   ;26/12/2023;1;25/02/2024;47;27;8;30;35;9;10;-8-27-30-35-47-;-9-10-;0;0;0;0;0;0;0;0;0;3;18;32617,8;83;419;143,8;163;727;87,6;179;899;49,7;2319;11216;19,9;4154;19378;12,8;9760;44899;10,3;12939;60460;9,3;65100;294756;6;153623;693402;4,1;0;0;0;0;48;59;88;11,5;1193;2,1;1960;3,4;6635;4,8;10860;13,6;31416;2,6;294236;2,5;RK 918 9326;;
20233102;VENDREDI;22/12/2023;4;21/02/2024;14;49;34;44;6;12;4;-6-14-34-44-49-;-4-12-;0;1;55662868;2;7;113308,6;1;5;37074,9;8;54;1069,2;138;698;152,3;263;1546;72,7;373;1739;45,4;4077;20788;19;7029;33434;13,1;16767;78958;10,3;23000;112843;8,8;101747;475534;6,5;257530;1187664;4,2;0;0;4;779,9;63;27,5;140;12,3;2106;2;3470;3,3;11982;4,5;20310;12,4;50027;2,8;478856;2,6;MS 622 2438;;
20233101;MARDI   ;19/12/2023;3;18/02/2024;20;43;41;45;10;12;2;-10-20-41-43-45-;-2-12-;0;0;0;1;1;529973,7;0;7;17694,7;3;13;2967,7;79;396;179,4;190;915;82,1;216;1068;49,4;2898;13514;19,5;4162;19855;14,8;10348;48406;11,3;16162;73827;8,9;67066;308486;6,7;166435;763848;4,4;1;1175,5;2;470,2;44;26,7;98;11,9;1454;2;2050;3,8;8359;4,4;14359;11,9;33120;2,9;336052;2,5;TN 553 0599;;
20233100;VENDREDI;15/12/2023;2;14/02/2024;2;13;37;38;48;9;5;-2-13-37-38-48-;-5-9-;0;0;0;0;1;695067,7;1;5;32489,7;8;35;1445,6;151;689;135,2;338;1751;56,2;297;1327;52,1;5694;27167;12,7;6509;29721;12,9;14962;64665;11,1;34285;158926;5,4;107482;470477;5,8;236010;991215;4,4;0;0;5;598,3;75;22,1;159;10,4;2723;1,5;3263;3,4;15876;3,2;28598;8,4;52017;2,6;507175;2,3;CL 667 1862;;
20233099;MARDI   ;12/12/2023;1;11/02/2024;43;39;28;37;6;9;12;-6-28-37-39-43-;-9-12-;0;0;0;0;1;523847,3;1;2;61215,8;4;21;1815,9;100;444;158,2;194;813;91,3;284;1099;47,4;2801;12674;20,5;4584;20231;14,3;12568;50775;10,6;16521;70525;9,3;71980;304485;6,7;187251;760714;4,3;0;0;1;2357,1;45;29,1;103;12,7;1513;2,1;2315;3,7;8724;4,7;15182;12,5;36371;2,9;368245;2,5;DE 599 0522;;
20233098;VENDREDI;08/12/2023;3;07/02/2024;48;30;50;42;17;4;8;-17-30-42-48-50-;-4-8-;0;1;240000000;1;5;1584039,1;3;16;24836,4;29;89;1390,7;437;1496;152,4;1159;3751;64,2;1089;3496;48,4;18767;59915;14,1;22553;72556;13;50383;163113;10,7;108693;342084;6,2;345688;1100646;6;783264;2482059;4,3;1;5260,5;13;323,7;221;23,8;554;9,4;8321;1,5;10349;3,4;48000;3,4;85054;9;156763;2,7;1581826;2,4;FK 500 2787;;
20233097;MARDI   ;05/12/2023;2;04/02/2024;6;20;4;24;25;5;9;-4-6-20-24-25-;-5-9-;0;0;0;3;8;146494,6;6;16;17119,1;22;88;969,4;453;1517;103,5;1004;3609;46;1006;3338;34,9;13642;50374;11,5;18771;64967;10;41536;139986;8,6;68423;260163;5,6;254691;906029;5,1;560871;1940512;3,8;1;3054,3;10;244,3;199;15,3;416;7,3;5872;1,3;8194;2,4;29870;3,2;46701;9,5;113001;2,2;878834;2,5;NZ 837 2820;;
20233096;VENDREDI;01/12/2023;Super Jackpot et tirages suivants;31/01/2024;38;10;4;14;50;9;12;-4-10-14-38-50-;-9-12-;0;0;0;2;6;266632,9;6;18;20772,1;14;58;2007,9;397;1609;133,3;764;3072;73,8;963;3942;40,4;11925;45380;17,5;18744;71488;12,4;46345;174658;9,4;63946;241471;8,3;283689;1055902;5,9;702181;2566667;3,9;2;2075,1;7;474,3;179;23,1;350;11,8;5545;1,8;8726;3,1;30066;4,3;50252;12;129711;2,6;1156104;2,6;EI 943 3492;;
20233095;MARDI   ;28/11/2023;7;28/01/2024;27;44;12;33;16;7;8;-12-16-27-33-44-;-7-8-;0;1;83068817;2;4;145719,3;0;6;22704,6;13;45;942,9;183;846;92,3;334;1500;55;340;1675;34,6;4362;20184;14,3;8082;36297;8,9;14780;67580;8,9;22728;103722;7;111521;494025;4,6;201592;940100;3,9;2;598,1;4;239,2;68;17,5;148;8;1926;1,5;3448;2,3;10378;3,6;16190;10,7;49751;1,9;378425;2,2;FA 161 9226;;
20233094;VENDREDI;24/11/2023;6;24/01/2024;48;15;29;20;39;7;1;-15-20-29-39-48-;-1-7-;0;0;0;0;3;243253,9;0;8;21319,6;10;39;1362,1;138;704;139;330;1584;65,3;300;1635;44,4;5646;24643;14,7;6437;31928;12,6;14061;72282;10,4;32660;137550;6,6;103212;488145;5,8;216304;1078084;4,3;0;0;5;528,8;68;21,6;158;9,2;2528;1,4;2926;3,3;14611;3,1;26087;8,2;46458;2,6;466005;2,2;OI 764 7249;;
20233093;MARDI   ;21/11/2023;5;21/01/2024;46;47;29;34;19;2;3;-19-29-34-46-47-;-2-3-;0;0;0;1;3;175300;1;5;24582,3;6;25;1531,3;75;436;161,7;196;1001;74,4;174;970;54;3098;14690;17,8;4309;21592;13,5;9076;45902;11,8;18729;90678;7,2;75352;352623;5,8;147764;721492;4,6;0;0;2;974,5;34;31,8;86;12,5;1422;1,9;1984;3,6;8756;3,8;16247;9,7;34507;2,5;366326;2,1;AG 692 9478;;
20233092;VENDREDI;17/11/2023;4;17/01/2024;26;50;24;2;46;2;7;-2-24-26-46-50-;-2-7-;0;0;0;1;4;171009,9;0;2;79935,6;9;33;1508,9;117;646;141,9;427;1857;52,2;260;1279;53,2;7151;29115;11,7;6325;30178;12,5;12606;61288;11,5;42828;167340;5,1;104435;473573;5,7;196303;942535;4,6;0;0;5;525,1;59;24,7;206;7;3207;1,1;2991;3,2;18936;2,4;32239;6,6;48296;2,4;485030;2,1;RY 968 0146;;
20233091;MARDI   ;14/11/2023;3;14/01/2024;13;50;36;16;44;3;5;-13-16-36-44-50-;-3-5-;0;0;0;0;1;486731,5;2;4;28439,2;8;30;1181;81;477;136,8;246;1201;57,4;189;971;49,9;3911;20003;12,1;4328;21924;12,3;8998;45060;11,1;24042;115461;5,2;69498;348491;5,5;143178;693633;4,4;0;0;3;617,9;28;36,7;119;8,6;1820;1,4;2114;3,2;10746;3;19333;7,7;32878;2,5;332396;2,2;IZ 946 0638;;
20233090;VENDREDI;10/11/2023;2;10/01/2024;30;42;10;21;38;12;2;-10-21-30-38-42-;-2-12-;0;0;0;0;2;324751,7;2;10;15179,9;5;26;1818,5;166;716;121,6;269;1261;73;438;1800;35,9;3632;17183;18,8;7093;30440;11,8;17806;75435;8,9;19631;91145;8,9;96045;431046;5,9;243450;1075258;3,8;0;0;1;2556,2;72;19,7;136;10,4;1846;1,9;3376;2,8;10004;4,4;16644;12,4;45791;2,5;387814;2,6;KA 106 4774;;
20233089;MARDI   ;07/11/2023;1;07/01/2024;8;10;11;39;30;10;4;-8-10-11-30-39-;-4-10-;0;0;0;0;0;0;1;3;189164,1;8;29;1154,6;109;536;115;221;1001;65,1;297;1340;34,1;3448;14771;15,5;5435;23231;11;13077;57012;8,3;17513;76374;7,5;74958;331651;5,4;182663;808515;3,6;0;0;2;894,1;54;18,3;115;8,6;1656;1,4;2582;2,5;8496;3,6;12779;11,3;35630;2,3;260971;2,7;ST 445 2708;;
20233088;VENDREDI;03/11/2023;2;03/01/2024;31;47;21;39;8;9;5;-8-21-31-39-47-;-5-9-;0;1;31218086;0;6;123697,3;1;4;43365,1;6;53;1019,4;157;823;120,9;344;2208;47,6;276;1628;45,4;5182;31335;11,7;6489;35295;11,6;13792;74644;10,2;29527;170549;5,4;96007;522472;5,6;205403;1093856;4,3;0;0;1;2524;80;17,5;132;10,6;2283;1,5;2991;3,1;13001;3,3;23238;8,8;44631;2,5;431063;2,3;IF 499 9158;;
20233087;MARDI   ;31/10/2023;1;31/12/2023;20;40;5;50;7;10;2;-5-7-20-40-50-;-2-10-;0;0;0;0;5;96734,8;0;3;37680,8;4;21;1676,6;107;577;112,4;271;1184;57,9;290;1402;34,3;3653;15789;15,2;5371;25925;10,3;12519;59923;8,3;18693;82503;7,3;74476;339907;5,6;175230;805649;3,8;0;0;2;951,5;45;23,4;128;8,2;1827;1,4;2573;2,7;9348;3,5;14789;10,4;36059;2,4;297049;2,5;OI 825 1787;;
20233086;VENDREDI;27/10/2023;1;27/12/2023;29;48;33;49;35;8;3;-29-33-35-48-49-;-3-8-;0;1;17000000;0;2;322693,9;1;2;75418,8;5;25;1879,2;112;524;165,1;293;1391;65,7;207;1116;57,6;4823;23256;13,8;5200;24878;14,4;11091;53753;12,4;29209;139631;5,7;85646;405387;6,2;181202;850884;4,8;0;0;2;1302,9;53;27,3;139;10,4;2236;1,6;2587;3,7;13369;3,4;26323;8;41081;2,9;479644;2,1;MY 351 7471;;
20233085;MARDI   ;24/10/2023;2;24/12/2023;18;16;8;31;34;6;9;-8-16-18-31-34-;-6-9-;0;1;26274769;0;1;484142,9;1;7;16164,5;10;41;859,6;141;608;106,7;333;1425;48,1;313;1235;39;4163;19526;12,3;5644;25009;10,7;12088;54674;9,1;22310;103331;5,8;80348;354127;5,3;172414;774426;3,9;0;0;5;385;68;15,7;156;6,8;1932;1,3;2623;2,7;10329;3,2;17302;9;37140;2,3;322842;2,4;GB 497 3419;;
20233084;VENDREDI;20/10/2023;1;20/12/2023;20;40;28;2;45;5;1;-2-20-28-40-45-;-1-5-;0;0;0;0;0;0;2;7;114759,5;6;33;1436,3;137;613;142,4;345;1377;67;336;1379;47;5121;21173;15,3;6764;29067;12,4;15899;64755;10,4;28346;116541;7;105685;436996;5,8;239173;960647;4,3;0;0;1;2888,9;63;25,4;174;9,2;2353;1,7;3264;3,2;12943;3,9;22768;10,2;50113;2,6;473161;2,4;VU 044 6875;;
20233083;MARDI   ;17/10/2023;5;17/12/2023;40;20;10;35;17;4;3;-10-17-20-35-40-;-3-4-;0;1;67318140;2;4;139123,9;4;12;10838,5;3;26;1558,1;152;724;103;329;1458;54,1;341;1523;36,3;3984;18681;14,8;7374;32752;9,4;14787;68098;8,4;20693;95136;7,3;97062;428190;5,1;194299;866503;4;1;1233,8;2;493,5;67;18,4;156;7,9;1875;1,6;3306;2,5;9546;4;15302;11,7;44298;2,2;384291;2,3;JX 489 7822;;
20233082;VENDREDI;13/10/2023;4;13/12/2023;41;26;21;40;28;4;2;-21-26-28-40-41-;-2-4-;0;0;0;0;1;867786,7;3;12;16901,3;6;32;1974,1;222;748;155,5;514;1813;67,8;447;1621;53,3;8328;28571;15,1;10838;37127;12,9;23170;80354;11,1;48122;158565;6,8;177000;590399;5,8;378018;1274707;4,3;0;0;2;2403,2;114;23,4;255;10,4;3921;1,7;5304;3,3;22304;3,7;39119;9,9;84314;2,6;813348;2,3;KA 345 1524;;
20233081;MARDI   ;10/10/2023;3;10/12/2023;18;33;20;22;43;3;9;-18-20-22-33-43-;-3-9-;0;0;0;0;1;515171,2;0;6;20067,3;7;37;1013,5;151;574;120,3;336;1564;46,6;265;1231;41,6;5207;23158;11;5831;25995;11;12889;55643;9,5;28260;122739;5,2;85267;381729;5,3;179826;788883;4,1;0;0;1;2109,4;61;19,2;157;7,4;2396;1,2;2661;2,9;13184;2,8;21750;7,8;40218;2,4;357830;2,3;JP 503 1005;;
20233080;VENDREDI;06/10/2023;2;06/12/2023;31;43;21;29;34;2;9;-21-29-31-34-43-;-2-9-;0;0;0;0;1;687153,2;1;5;32119,8;9;39;1282,6;158;623;147,9;366;1607;60,6;320;1347;50,8;5780;24918;13,7;7239;30408;12,5;15480;66296;10,7;32118;136495;6,3;109752;465860;5,8;238041;1002138;4,3;0;0;6;504,2;78;21,5;161;10,4;2747;1,5;3484;3,2;14976;3,5;26339;9,3;52806;2,6;523639;2,3;QZ 466 3294;;
20233079;MARDI   ;03/10/2023;1;03/12/2023;45;6;22;24;20;5;4;-6-20-22-24-45-;-4-5-;0;0;0;2;4;124708,1;1;8;14573,1;2;24;1513;114;509;131,4;282;1258;56,2;243;1067;46,5;3991;17205;14,4;6064;25810;10,7;12558;52762;9,7;20589;90431;6,9;88898;379813;5,1;184059;770818;4,1;0;0;2;1058,6;57;20,6;130;9;1861;1,5;2886;2,7;9800;3,7;15095;11,3;42204;2,2;346313;2,4;MV 249 2574;;
20233078;VENDREDI;29/09/2023;Super Jackpot et tirages suivants;29/11/2023;32;9;11;21;13;7;2;-9-11-13-21-32-;-2-7-;1;1;130000000;3;16;81127,9;1;25;12135;42;147;642,8;531;2294;75,8;1668;5675;32,4;1036;4422;29,2;20625;69584;9,2;24627;90926;7,9;46912;177627;7,5;93270;321029;5;309425;1144130;4,4;596720;2286033;3,6;2;1621;17;152,5;236;13,7;710;4,5;8922;0,9;10829;2;41119;2,4;59044;8;138337;1,9;951522;2,4;TT 262 4377;;
20233077;MARDI   ;26/09/2023;3;26/11/2023;14;6;23;2;19;5;7;-2-6-14-19-23-;-5-7-;0;0;0;2;6;87504,6;4;14;8764,8;24;75;509,6;276;1010;69,7;699;2645;28,1;519;1992;26,2;7926;31767;8,2;9665;38632;7,5;17786;72530;7,4;34660;146389;4,4;114032;480181;4,3;212418;918463;3,6;1;1158,8;7;132,4;137;8,4;315;3,6;3346;0,8;4374;1,7;15280;2,3;22006;7,6;52133;1,8;348977;2,4;OB 498 5779;;
20233076;VENDREDI;22/09/2023;2;22/11/2023;3;23;35;34;24;8;5;-3-23-24-34-35-;-5-8-;0;0;0;0;1;681329;1;5;31847,5;8;35;1417,1;113;643;142;392;2025;47,6;280;1346;50,4;7297;33739;10;6619;31719;11,9;14715;67383;10,4;40887;178760;4,7;112362;507911;5,2;249743;1067407;4;0;0;2;1451,1;57;28,2;162;9,9;3209;1,2;3190;3,3;18103;2,8;29256;8;52788;2,5;473403;2,4;FX 396 8800;;
20233075;MARDI   ;19/09/2023;1;19/11/2023;10;31;41;15;42;2;5;-10-15-31-41-42-;-2-5-;0;0;0;1;1;473970;2;2;55387,3;2;22;1568,3;67;433;146,7;250;1158;58;166;883;53,4;3989;18272;12,9;4204;21182;12,4;9076;42564;11,5;22943;103564;5,7;76308;338329;5,5;149773;674676;4,4;0;0;1;1896,6;30;35,1;101;10,4;1798;1,4;1994;3,5;10066;3,2;17265;8,9;35589;2,4;323835;2,3;TL 095 8812;;
20233074;VENDREDI;15/09/2023;4;15/11/2023;21;45;12;48;14;8;11;-12-14-21-45-48-;-8-11-;0;2;27475869;1;3;264520,2;1;8;23183,5;8;26;2221,8;150;728;146,1;321;1599;70,3;371;1650;47,9;4519;23985;16,4;7360;35296;12,4;18509;83822;9,7;24356;128333;7,7;111090;537055;5,8;276144;1272189;3,9;1;1624,4;3;433,1;70;23,2;174;9,3;2274;1,7;3400;3,2;12047;4,2;20336;11,6;52687;2,5;449134;2,6;SW 459 1895;;
20233073;MARDI   ;12/09/2023;3;12/11/2023;14;5;42;36;40;11;2;-5-14-36-40-42-;-2-11-;0;0;0;1;2;258198,5;1;3;40230,1;5;21;1790,1;95;440;157,3;217;1025;71,4;179;999;51,4;3408;15637;16,4;4251;20855;13,7;10006;48569;10,9;18786;86644;7,4;68096;322572;6,3;161146;751416;4,3;0;0;1;2051,5;34;33,5;103;11;1698;1,6;2076;3,6;9324;3,8;16071;10,3;33025;2,8;326023;2,5;HF 956 4344;;
20233072;VENDREDI;08/09/2023;2;08/11/2023;33;20;10;21;26;4;3;-10-20-21-26-33-;-3-4-;0;0;0;1;4;167780,7;2;5;31370,4;11;36;1357,1;174;779;115,5;377;1688;56,3;361;1548;43,1;5236;23538;14,2;9501;39063;9,5;18524;77154;8,9;26464;117661;7,1;133473;555775;4,7;262721;1102069;3,8;1;1562,7;3;416,7;68;22,9;167;9,3;2368;1,6;4251;2,4;12044;4;18769;12,1;60923;2,1;468801;2,4;SE 101 9319;;
